city,state_id,lat,lng,population,density,id
Avondale,AZ,33.3858,-112.3236,214235,707,379
Chandler,AZ,33.2828,-111.8517,247477,1474,380
Desert Hot Springs,CA,33.955,-116.543,43327,364,381
Corona,CA,33.8623,-117.5642,166785,1658,382
Indio,CA,33.7346,-116.2347,402166,1028,383
Beaumont,CA,33.9052,-116.976,45349,565,384
Coachella,CA,33.691,-116.1451,44953,599,385
Cathedral City,CA,33.8363,-116.4662,54056,970,386
Downey,CA,33.9379,-118.1312,113267,3524,387
Diamond Bar,CA,33.9992,-117.8161,56793,1473,388
Covina,CA,34.0903,-117.8817,48549,2667,389
Compton,CA,33.893,-118.2275,97550,3761,390
Inglewood,CA,33.9566,-118.3444,110654,4711,391
Huntington Park,CA,33.98,-118.2167,58879,7546,392
Burbank,CA,34.188,-118.3234,104447,2325,393
Bellflower,CA,33.888,-118.1271,77790,4909,394
Bell Gardens,CA,33.9663,-118.155,42806,6722,395
Baldwin Park,CA,34.0829,-117.972,76464,4452,396
Azusa,CA,34.1386,-117.9124,49628,1984,397
Arcadia,CA,34.1342,-118.0373,58523,2068,398
Alhambra,CA,34.084,-118.1355,85474,4324,399
Cerritos,CA,33.8677,-118.0686,50555,2237,400
Carson,CA,33.8374,-118.2559,92797,1913,401
Camarillo,CA,34.223,-119.0325,74152,1331,402
Clovis,NM,34.4375,-103.1924,43327,643,403
Albuquerque,NM,35.1055,-106.6476,759517,1147,404
Amarillo,TX,35.1999,-101.8297,205821,770,405
Delano,CA,35.767,-119.2637,54030,1422,406
Bakersfield,CA,35.3528,-119.0354,567585,977,407
Arroyo Grande,CA,35.1243,-120.5849,54542,1197,408
Colton,CA,34.0538,-117.3254,54712,1378,409
Chino Hills,CA,33.9508,-117.7254,78822,681,410
Chino,CA,33.9836,-117.6653,87776,1142,411
Broken Arrow,OK,36.0367,-95.7808,107403,672,412
Cupertino,CA,37.3167,-122.0465,60643,2070,413
Clovis,CA,36.8283,-119.6851,106583,1709,414
Daly City,CA,37.6863,-122.4684,106472,5380,415
Dublin,CA,37.7161,-121.8962,59583,1510,416
Berkeley,CA,37.8723,-122.276,121240,4472,417
Alameda,CA,37.767,-122.2673,78906,2917,418
Ceres,CA,37.5954,-120.9624,48278,1998,419
Concord,CA,37.9722,-122.0016,649437,1627,420
Brentwood,CA,37.9356,-121.719,60532,1573,421
Antioch,CA,37.9789,-121.7958,300780,1456,422
Citrus Heights,CA,38.6948,-121.288,87432,2372,423
Davis,CA,38.5552,-121.7365,75553,2659,424
Colorado Springs,CO,38.8673,-104.7605,624789,919,425
Aurora,CO,39.7085,-104.7274,361710,909,426
Centennial,CO,39.5927,-104.8674,109932,1449,427
Denver,CO,39.7621,-104.8759,2741534,1745,428
Arvada,CO,39.8321,-105.1508,117453,1182,429
Commerce City,CO,39.8638,-104.8434,54869,606,430
Broomfield,CO,39.9541,-105.0526,66529,778,431
Chico,CA,39.7568,-121.816,104302,1072,432
Boulder,CO,40.0274,-105.2514,127190,1678,433
Draper,UT,40.4956,-111.8607,47328,607,434
Bountiful,UT,40.8722,-111.8647,44078,1288,435
Cheyenne,WY,41.1418,-104.7943,79217,929,436
Idaho Falls,ID,43.4878,-112.0359,96166,1029,437
Caldwell,ID,43.6458,-116.6595,53149,926,438
Bend,OR,44.0562,-121.3087,99634,1065,439
Corvallis,OR,44.5697,-123.2781,65465,1548,440
Albany,OR,44.6274,-123.0966,60463,1171,441
Beaverton,OR,45.4779,-122.8168,97590,1930,442
Bozeman,MT,45.6828,-111.0545,52391,879,443
Billings,MT,45.7892,-108.5498,121550,985,444
Kennewick,WA,46.1979,-119.1732,229624,1134,445
Kent,WA,47.3887,-122.2128,127514,1459,446
Burien,WA,47.4761,-122.3393,50997,1958,447
Bothell,WA,47.774,-122.2039,44546,1291,448
Bellevue,WA,47.5953,-122.155,141400,1630,449
Auburn,WA,47.3039,-122.2108,77472,1008,450
Bremerton,WA,47.5436,-122.7121,214549,552,451
Coeur d'Alene,ID,47.7041,-116.7928,112088,1245,452
Bellingham,WA,48.7534,-122.4683,123933,1249,453
Wellington,FL,26.6464,-80.2708,63900,546,454
Pinehurst,NC,35.1922,-79.4682,44070,370,455
Smyrna,TN,35.9732,-86.5242,48596,629,456
Mount Pleasant,SC,32.8532,-79.8269,84170,720,457
Cutler Bay,FL,25.5765,-80.3357,44707,1756,458
Davie,FL,26.0789,-80.287,101871,1127,459
Jupiter,FL,26.9195,-80.1123,63813,1127,460
Hilton Head Island,SC,32.1896,-80.7499,75328,378,461
Summerville,SC,33.0038,-80.1794,49323,1032,462
Morehead City,NC,34.7307,-76.7383,48637,515,463
Collierville,TN,35.0474,-89.6989,49177,526,464
Huntersville,NC,35.4055,-80.8741,54839,530,465
Cary,NC,35.7815,-78.8162,162320,1128,466
Chapel Hill,NC,35.9271,-79.0387,59246,1080,467
Weston,FL,26.1003,-80.4052,70015,1109,468
Tamarac,FL,26.2057,-80.2547,65199,2165,469
Sunrise,FL,26.1547,-80.2998,93734,2214,470
Margate,FL,26.2465,-80.2119,57870,2522,471
West Palm Beach,FL,26.7468,-80.1315,108161,756,472
Sarasota,FL,27.3391,-82.5439,701487,1488,473
Sebring,FL,27.4771,-81.453,62473,408,474
Tampa,FL,27.9937,-82.4454,2744107,1283,475
Saint Petersburg,FL,27.7931,-82.6652,260999,1631,476
Saint Cloud,FL,28.2297,-81.2853,47809,1022,477
Winter Haven,FL,28.0126,-81.7021,231412,480,478
Zephyrhills,FL,28.2404,-82.1796,74712,614,479
Titusville,FL,28.5725,-80.8193,57193,605,480
Melbourne,FL,28.1152,-80.653,81185,835,481
Sanford,FL,28.7892,-81.276,58605,982,482
Saint Augustine,FL,29.8979,-81.31,76129,584,483
